"Date";"Temp";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"C1";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E";"Es'";"sss"
"29.12.2019 18:00";"-42.0";"772.1";"783.7";"0.4";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.1";"";"";"";"";"";"";
"29.12.2019 15:00";"-42.3";"771.7";"783.2";"0.2";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.4";"";"";"";"";"";"";
"29.12.2019 12:00";"-43.1";"771.5";"783.1";"0.5";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-46.2";"";"";"";"";"";"";
"29.12.2019 09:00";"-44.0";"771.0";"782.7";"0.9";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно.  Диаметр изморозевого отложения составляет 29 мм.";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-46.1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"29.12.2019 06:00";"-44.4";"770.1";"781.7";"0.8";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.6";"";"";"";"";"";"";
"29.12.2019 03:00";"-45.2";"769.3";"781.0";"0.9";"69";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-48.4";"";"";"";"";"";"";
"29.12.2019 00:00";"-46.0";"768.4";"780.1";"0.6";"69";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-49.2";"";"";"";"";"";"";
"28.12.2019 21:00";"-46.1";"767.8";"779.5";"1.1";"69";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"-43.8";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-49.3";"Осадков нет";"12";"";"";"";"";
"28.12.2019 18:00";"-46.0";"766.7";"778.4";"1.0";"69";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-49.2";"";"";"";"";"";"";
"28.12.2019 15:00";"-45.6";"765.7";"777.3";"0.9";"69";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-48.8";"";"";"";"";"";"";
"28.12.2019 12:00";"-44.1";"764.8";"776.3";"0.4";"70";"Ветер, дующий с юго-юго-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-45.5";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-47.3";"";"";"";"";"";"";
"28.12.2019 09:00";"-45.0";"764.4";"776.0";"0.8";"69";"Ветер, дующий с юго-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно.  Диаметр изморозевого отложения составляет 27 мм.";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-45.0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-48.3";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"28.12.2019 06:00";"-43.2";"763.6";"775.0";"0.6";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-46.3";"";"";"";"";"";"";
"28.12.2019 03:00";"-43.0";"763.0";"774.4";"0.4";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-46.2";"";"";"";"";"";"";
"28.12.2019 00:00";"-42.3";"762.6";"774.1";"0.3";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-45.5";"";"";"";"";"";"";
"27.12.2019 21:00";"-42.8";"762.3";"773.5";"0.3";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"-42.7";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-46.0";"Осадков нет";"12";"";"";"";"";
"27.12.2019 18:00";"-43.9";"762.0";"773.5";"0.5";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-47.1";"";"";"";"";"";"";
"27.12.2019 15:00";"-43.8";"761.5";"773.0";"0.2";"69";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-47.1";"";"";"";"";"";"";
"27.12.2019 12:00";"-45.8";"761.3";"772.9";"0.1";"69";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-49.0";"";"";"";"";"";"";
"27.12.2019 09:00";"-46.1";"761.2";"772.9";"0.4";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно.  Диаметр изморозевого отложения составляет 25 мм.";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-46.2";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-49.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"27.12.2019 06:00";"-46.2";"760.8";"772.4";"0.1";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-49.3";"";"";"";"";"";"";
"27.12.2019 03:00";"-45.2";"760.7";"772.3";"0.1";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-48.3";"";"";"";"";"";"";
"27.12.2019 00:00";"-44.0";"760.6";"772.1";"0.1";"70";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.2";"";"";"";"";"";"";
"26.12.2019 21:00";"-43.8";"760.5";"772.0";"0.2";"70";"Ветер, дующий с северо-северо-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-43.1";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.0";"Осадков нет";"12";"";"";"";"";
"26.12.2019 18:00";"-43.9";"760.3";"771.7";"0.1";"70";"Ветер, дующий с северо-северо-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.1";"";"";"";"";"";"";
"26.12.2019 15:00";"-43.5";"760.2";"771.7";"0.0";"71";"Ветер, дующий с севера";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-46.6";"";"";"";"";"";"";
"26.12.2019 12:00";"-44.0";"760.2";"771.7";"-0.3";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.2";"";"";"";"";"";"";
"26.12.2019 09:00";"-44.2";"760.5";"772.0";"0.3";"70";"Ветер, дующий с северо-северо-запада";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно.  Диаметр изморозевого отложения составляет 25 мм.";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-45.5";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-47.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"26.12.2019 06:00";"-45.3";"760.2";"771.7";"-0.2";"70";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-48.4";"";"";"";"";"";"";
"26.12.2019 03:00";"-44.2";"760.4";"772.0";"-0.2";"70";"Ветер, дующий с северо-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.5";"-47.3";"";"";"";"";"";"";
"26.12.2019 00:00";"-45.4";"760.6";"772.2";"-0.3";"69";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.5";"-48.6";"";"";"";"";"";"";
"25.12.2019 21:00";"-45.3";"760.9";"772.6";"-0.3";"69";"Ветер, дующий с севера";"1";"";"";"100%.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-43.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.5";"-48.5";"Следы осадков";"12";"";"";"";"";
"25.12.2019 18:00";"-45.5";"761.2";"772.8";"-0.2";"69";"Ветер, дующий с севера";"1";"";"";"100%.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.5";"-48.7";"";"";"";"";"";"";
"25.12.2019 15:00";"-43.8";"761.4";"772.9";"-0.1";"77";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Туман с отложением изморози, небо видно. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"0.5";"-46.1";"";"";"";"";"";"";
"25.12.2019 12:00";"-44.2";"761.5";"773.0";"0.0";"70";"Ветер, дующий с севера";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"-45.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"0.5";"-47.3";"";"";"";"";"";"";
"25.12.2019 09:00";"-43.7";"761.5";"773.0";"0.4";"71";"Ветер, дующий с севера";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения.  Диаметр изморозевого отложения составляет 25 мм.";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"-43.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"0.5";"-46.8";"0.3";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"25.12.2019 06:00";"-41.9";"761.1";"772.5";"0.4";"72";"Ветер, дующий с севера";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"2.0";"-44.9";"";"";"";"";"";"";
"25.12.2019 03:00";"-39.7";"760.7";"772.0";"0.1";"73";"Ветер, дующий с севера";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"2.0";"-42.6";"";"";"";"";"";"";
"25.12.2019 00:00";"-38.4";"760.6";"771.8";"0.5";"74";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"2.0";"-41.3";"";"";"";"";"";"";
"24.12.2019 21:00";"-37.6";"760.1";"771.3";"0.4";"74";"Ветер, дующий с севера";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-34.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"4.0";"-40.5";"0.6";"12";"";"";"";"";
"24.12.2019 18:00";"-37.6";"759.7";"770.9";"0.6";"74";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"4.0";"-40.5";"";"";"";"";"";"";
